Well,500
A1,0.045
B1,0.211
C1,0.314
D1,0.046
E1,0.506
F1,1.088
G1,1.349
H1,1.599
A2,0.045
B2,0.047
C2,0.047
D2,0.046
E2,0.046
F2,0.046
G2,0.048
H2,0.046
A3,0.149
B3,0.256
C3,0.120
D3,0.227
E3,0.403
F3,3.893
G3,1.169
H3,0.040
A4,0.044
B4,0.046
C4,0.046
D4,0.046
E4,0.047
F4,0.047
G4,0.046
H4,0.045
A5,0.045
B5,0.045
C5,0.047
D5,0.046
E5,0.046
F5,0.046
G5,0.047
H5,0.045
A6,0.045
B6,0.045
C6,0.046
D6,0.045
E6,0.056
F6,0.049
G6,0.047
H6,0.045
A7,0.060
B7,0.227
C7,0.120
D7,0.053
E7,0.202
F7,0.112
G7,0.050
H7,0.046
A8,0.102
B8,0.113
C8,0.067
D8,0.094
E8,0.046
F8,0.045
G8,0.046
H8,0.046
A9,0.045
B9,0.045
C9,0.047
D9,0.064
E9,0.046
F9,0.046
G9,0.046
H9,0.045
A10,0.046
B10,0.045
C10,0.046
D10,0.060
E10,0.048
F10,0.047
G10,0.046
H10,0.046
A11,0.045
B11,0.045
C11,0.048
D11,0.045
E11,0.047
F11,0.045
G11,0.046
H11,0.046
A12,0.045
B12,0.045
C12,0.046
D12,0.045
E12,0.046
F12,0.053
G12,0.045
H12,0.045

Well,520
A1,0.044
B1,0.215
C1,0.323
D1,0.045
E1,0.523
F1,1.128
G1,1.399
H1,1.659
A2,0.045
B2,0.047
C2,0.047
D2,0.046
E2,0.046
F2,0.045
G2,0.048
H2,0.045
A3,0.152
B3,0.260
C3,0.120
D3,0.228
E3,0.405
F3,OVRFLW
G3,1.231
H3,0.039
A4,0.044
B4,0.045
C4,0.046
D4,0.046
E4,0.046
F4,0.047
G4,0.046
H4,0.045
A5,0.045
B5,0.045
C5,0.047
D5,0.046
E5,0.046
F5,0.046
G5,0.046
H5,0.044
A6,0.045
B6,0.045
C6,0.045
D6,0.046
E6,0.056
F6,0.049
G6,0.047
H6,0.045
A7,0.059
B7,0.229
C7,0.119
D7,0.051
E7,0.207
F7,0.111
G7,0.049
H7,0.045
A8,0.100
B8,0.113
C8,0.066
D8,0.093
E8,0.046
F8,0.045
G8,0.045
H8,0.046
A9,0.045
B9,0.045
C9,0.046
D9,0.062
E9,0.046
F9,0.046
G9,0.046
H9,0.045
A10,0.046
B10,0.044
C10,0.046
D10,0.059
E10,0.048
F10,0.046
G10,0.045
H10,0.045
A11,0.045
B11,0.045
C11,0.048
D11,0.045
E11,0.047
F11,0.045
G11,0.046
H11,0.046
A12,0.044
B12,0.045
C12,0.046
D12,0.045
E12,0.045
F12,0.053
G12,0.045
H12,0.045

