Well,528/20,590/20
A1,615
B1,849
C1,1094
D1,1
E1,596
F1,597
G1,590
H1,2
A2,620
B2,1087
C2,1625
D2,1
E2,628
F2,635
G2,675
H2,3
A3,638
B3,1175
C3,1633
D3,2
E3,0
F3,1
G3,1
H3,1
A4,647
B4,1617
C4,2594
D4,1
E4,0
F4,1
G4,2
H4,1
A5,637
B5,1681
C5,2875
D5,1
E5,0
F5,0
G5,1
H5,2
A6,638
B6,963
C6,1527
D6,3
E6,2
F6,1
G6,2
H6,1
A7,625
B7,647
C7,648
D7,3
E7,5
F7,2
G7,3
H7,6
A8,620
B8,1052
C8,1618
D8,0
E8,1
F8,2
G8,1
H8,2
A9,659
B9,645
C9,660
D9,1
E9,0
F9,2
G9,3
H9,1
A10,637
B10,1707
C10,2979
D10,0
E10,3
F10,2
G10,7
H10,6
A11,639
B11,1695
C11,3411
D11,6
E11,2
F11,12
G11,16
H11,5
A12,616
B12,1455
C12,2809
D12,1
E12,3
F12,5
G12,5
H12,3

